swMapping,SystemMapping,BodyControl,SwcToEcuMapping,(and (or _F1 _F2) (or _F9 _F10) (or _F3 _F4) _F11 _F12 (or _F5 _F6) (or _F8 _F7))
ecuInstance,SwcToEcuMapping,HumanMachineInterface,EcuInstance,(and (or _F1 _F2) (or _F9 _F10) (or _F3 _F4) _F11 _F12 (or _F5 _F6) (or _F8 _F7))
swMapping,SystemMapping,BodyControl,SwcToEcuMapping,(and (or _F1 _F2) (or _F3 _F4) (not (and (or _F9 _F10) (or _F5 _F6))) _F11 _F12 (or _F8 _F7))
ecuInstance,SwcToEcuMapping,HumanMachineInterface,EcuInstance,(and (or _F1 _F2) (or _F3 _F4) (not (and (or _F9 _F10) (or _F5 _F6))) _F11 _F12 (or _F8 _F7))
component,CompositionType,BodyControl,ComponentPrototype,(and (or _F1 _F2) (or _F9 _F10) (or _F3 _F4) _F11 _F12 (or _F5 _F6) (or _F8 _F7))
component,SwcToEcuMapping,HumanMachineInterface,SwCompToEcuMapping_component,(and (or _F1 _F2) (or _F9 _F10) (or _F3 _F4) _F11 _F12 (or _F5 _F6) (or _F8 _F7))
type,ComponentPrototype,Display1,CompositionType,(and (or _F1 _F2) (or _F9 _F10) (or _F3 _F4) _F11 _F12 (or _F5 _F6) (or _F8 _F7))
component,CompositionType,BodyControl,ComponentPrototype,(and (or _F1 _F2) (or _F9 _F10) (or _F3 _F4) _F11 _F12 (or _F5 _F6) (or _F8 _F7))
component,SwcToEcuMapping,HumanMachineInterface,SwCompToEcuMapping_component,(and (or _F1 _F2) (or _F9 _F10) (or _F3 _F4) _F11 _F12 (or _F5 _F6) (or _F8 _F7))
type,ComponentPrototype,D0,CompositionType,(and (or _F1 _F2) (or _F9 _F10) (or _F3 _F4) _F11 _F12 (or _F5 _F6) (or _F8 _F7))
component,CompositionType,BodyControl,ComponentPrototype,(and (or _F1 _F2) (or _F3 _F4) (not (and (or _F9 _F10) (or _F5 _F6))) _F11 _F12 (or _F8 _F7))
component,SwcToEcuMapping,HumanMachineInterface,SwCompToEcuMapping_component,(and (or _F1 _F2) (or _F3 _F4) (not (and (or _F9 _F10) (or _F5 _F6))) _F11 _F12 (or _F8 _F7))
type,ComponentPrototype,D0,CompositionType,(and (or _F1 _F2) (or _F3 _F4) (not (and (or _F9 _F10) (or _F5 _F6))) _F11 _F12 (or _F8 _F7))
